,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
130,Batsfjord,NO,2021-01-27 12:51:22,70.6345,29.7185,24.8,86,75,24.16
131,Kapaa,US,2021-01-27 12:51:22,22.0752,-159.319,73.99,88,20,17.27
132,Boralday,KZ,2021-01-27 12:51:22,43.3578,76.8594,18.25,91,14,1.77
133,Sorland,NO,2021-01-27 12:51:23,67.667,12.6934,33.8,75,20,16.11
134,Harper,LR,2021-01-27 12:51:23,4.375,-7.7169,83.12,74,15,5.1
135,Arraial Do Cabo,BR,2021-01-27 12:51:23,-22.9661,-42.0278,84.2,58,0,23.02
136,Yefremov,RU,2021-01-27 12:47:23,53.1481,38.0992,31.8,99,100,2.57
137,Oliva,ES,2021-01-27 12:51:23,38.9197,-0.1194,73.99,51,0,5.01
138,Great Falls,US,2021-01-27 12:47:50,47.5002,-111.3008,21.0,63,1,9.22
139,Kodiak,US,2021-01-27 12:51:24,57.79,-152.4072,28.4,74,1,3.44
140,Qaanaaq,GL,2021-01-27 12:51:24,77.484,-69.3632,-14.93,64,0,4.88
141,Iquique,CL,2021-01-27 12:50:01,-20.2208,-70.1431,68.0,73,0,3.44
142,Smithers,CA,2021-01-27 12:49:55,54.7804,-127.1743,19.4,93,90,2.3
143,Doka,SD,2021-01-27 12:47:02,13.5167,35.7667,99.77,15,0,12.39
144,Mataura,NZ,2021-01-27 12:51:24,-46.1927,168.8643,55.0,80,8,18.99
145,Eureka,US,2021-01-27 12:47:22,40.8021,-124.1637,44.01,86,100,7.0
146,Lancaster,US,2021-01-27 12:51:25,40.2504,-76.2499,35.6,80,90,5.75
147,Gondanglegi,ID,2021-01-27 12:51:25,-7.7479,112.0132,76.3,84,100,1.52
148,Vao,NC,2021-01-27 12:51:25,-22.6667,167.4833,77.5,82,100,19.37
149,Pisco,PE,2021-01-27 12:51:25,-13.7,-76.2167,66.99,91,38,1.01
150,Constitucion,CL,2021-01-27 12:51:25,-35.3333,-72.4167,64.9,44,0,3.83
151,Castro,BR,2021-01-27 12:49:33,-24.7911,-50.0119,76.91,67,100,12.68
152,Ixtapa,MX,2021-01-27 12:51:26,20.7,-105.2,61.0,93,100,1.97
153,Ajaccio,FR,2021-01-27 12:51:26,42.0,8.9167,53.6,54,0,4.61
154,Tasiilaq,GL,2021-01-27 12:51:26,65.6145,-37.6368,14.45,89,100,9.64
155,Nanortalik,GL,2021-01-27 12:51:26,60.1432,-45.2371,23.0,87,100,4.29
156,Ucluelet,CA,2021-01-27 12:51:26,48.9329,-125.5528,39.0,82,100,10.22
157,Sao Filipe,CV,2021-01-27 12:51:27,14.8961,-24.4956,77.88,55,0,6.46
158,Bilibino,RU,2021-01-27 12:51:27,68.0546,166.4372,-15.48,82,100,6.02
