City_ID,City,Country,Max Temp,Current Weather,Lat,Long,Hotel Name
274,Dingle,PH,71.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
275,Casablanca,MA,60.8,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
276,Nuuk,GL,21.2,few clouds,64.1835,-51.7216,Vandrehuset
279,Salalah,OM,73.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
280,Vardo,NO,30.2,light snow,70.3705,31.1107,Vardø Hotel AS
282,Christchurch,NZ,55.99,clear sky,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
283,Tonk,IN,54.46,clear sky,26.1667,75.7833,Hotel Sheetal
284,Sioux Lookout,CA,21.2,light snow,50.1001,-91.917,Knobby's Fly-In Camps
285,Muroto,JP,46.92,clear sky,33.2833,134.15,Oota Ryokan
286,Lakeway,US,66.99,overcast clouds,30.3638,-97.9796,Lakeway Resort and Spa
288,Manbij,SY,41.0,overcast clouds,36.5281,37.9549,Manbej City Hotel
289,Aksu,CN,21.54,clear sky,41.1231,80.2644,Pudong Holiday Hotel
292,Muscat,OM,66.2,clear sky,23.6139,58.5922,Mutrah Hotel
295,Rock Sound,BS,68.09,overcast clouds,24.9,-76.2,Rock Sound Club
297,Fortuna,US,50.0,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
298,Hovd,MN,12.13,clear sky,48.0056,91.6419,Buyant Hotel
299,Qasigiannguit,GL,3.2,scattered clouds,68.8193,-51.1922,Hotel Discobay
300,Eston,CA,1.99,mist,51.1501,-108.7514,Hearthside Place B&B
301,Hofn,IS,23.27,overcast clouds,64.2539,-15.2082,Hótel Höfn
302,Miles City,US,26.6,light snow,46.4083,-105.8406,FairBridge Inn & Suites Miles City
305,Gonzalez,US,64.4,clear sky,30.5816,-87.2914,Motel Air Inc
306,Svetlogorsk,BY,23.02,light snow,52.6333,29.7333,Hotel Svetlogorsk JBIK
307,Rabo De Peixe,PT,64.99,scattered clouds,37.8,-25.5833,Quinta das Giestas
308,Dongsheng,CN,21.25,clear sky,39.8161,109.9776,Crowne Plaza Ordos
309,Jiazi,CN,56.01,clear sky,22.8779,116.06700000000001,Hotel Jin Hao
310,Asau,RO,39.2,clear sky,46.4333,26.4,Casa Mika Ciobanus
312,Brae,GB,33.8,scattered clouds,60.3964,-1.3530000000000002,Busta House Hotel
313,Santa Lucia,ES,69.01,scattered clouds,27.9117,-15.5407,Las Tirajanas
317,Dali,CN,44.11,clear sky,25.7,100.1833,Dali Travelling With Hostel
322,Warrington,GB,39.99,few clouds,53.3925,-2.5802,Villaggio Hotel
325,Mount Gambier,AU,53.6,clear sky,-37.8333,140.7667,Commodore on the Park
326,Hojai,IN,64.51,overcast clouds,26.0,92.8667,Luxury park hotel
327,Iquique,CL,73.4,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
328,Antofagasta,CL,73.99,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
329,Otradnoye,RU,28.0,snow,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
333,Kamenka,RU,34.0,overcast clouds,51.3223,42.7678,
335,Altamont,US,35.6,overcast clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
336,Talkha,EG,56.35,clear sky,31.0539,31.3779,Almadiafah
340,Iberia,US,68.0,overcast clouds,29.9502,-91.7507,back to back rv park
341,Fernie,CA,32.0,light snow,49.5,-115.0687,Fernie Stanford Resort
342,Beyneu,KZ,33.39,broken clouds,45.3167,55.2,NUR
344,Klaksvik,FO,35.6,broken clouds,62.2266,-6.5889999999999995,Airbnb rooms
345,Sailana,IN,58.35,clear sky,23.4667,74.9167,Krishna Marriage Garden Sailana
347,Esna,EG,66.2,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
348,Lexington Park,US,37.4,clear sky,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
352,Guerrero Negro,MX,61.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
353,Marawi,PH,66.54,overcast clouds,7.9986,124.2928,Derogongan Residence
355,Gweru,ZW,68.65,moderate rain,-19.45,29.8167,Suskwe Lodges
362,Muros,ES,55.99,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
363,Nanortalik,GL,36.12,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
365,Katobu,ID,74.82,overcast clouds,-4.9408,122.5276,La Ode Husein
368,Dordrecht,NL,36.0,overcast clouds,51.81,4.6736,Bastion Hotel Dordrecht - Papendrecht
370,Sayyan,YE,55.09,few clouds,15.1718,44.3244,متنزه و بحيرة سيان
372,Rawson,AR,66.22,clear sky,-43.3002,-65.1023,Hosteria Sampedro
373,Rodeo,US,48.99,overcast clouds,38.033,-122.2669,Captain's Cottage
374,Tahta,EG,64.4,clear sky,26.7693,31.5021,El Salam Hotel
376,Votkinsk,RU,27.0,snow,57.0486,53.9872,Tsentralniy Hotel
380,Saint George,US,39.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
381,Lingao,CN,64.26,clear sky,19.9103,109.6859,Lingao Ditai Inn
382,Skibbereen,IE,41.0,broken clouds,51.55,-9.2667,The West Cork Hotel
384,Komsomolskiy,UZ,41.0,overcast clouds,40.4272,71.7189,Ikathouse
386,La Vergne,US,46.99,overcast clouds,36.0156,-86.5819,Fairfield Inn & Suites by Marriott Nashville Smyrna
387,Terralba,IT,59.0,scattered clouds,39.7192,8.6392,B&B Neverland
388,Gushikawa,JP,59.0,broken clouds,26.3544,127.8686,Kirari Guest House
392,Dunedin,NZ,54.0,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
393,Yuancheng,CN,28.81,overcast clouds,36.652,107.7896,
395,Hamilton,US,34.0,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
396,Canberra,AU,66.2,overcast clouds,-35.2835,149.1281,Novotel Canberra
397,Maarianhamina,AX,28.4,overcast clouds,60.0973,19.9348,Park Alandia Hotel
401,Jumla,NP,31.37,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
404,Urumqi,CN,3.2,fog,43.801,87.6005,Hua Ling Grand Hotel Urumqi
406,Hasaki,JP,26.6,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
407,Blagoveshchenka,RU,6.96,clear sky,52.8333,79.8667,"Gostinitsa ""Tsentral'naya"""
408,Dongzhen,CN,60.04,clear sky,22.3797,110.9389,茂名中汇时尚酒店
411,Oktyabrskoye,RU,37.4,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
412,Kuandian,CN,6.73,few clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
413,Dargaville,NZ,52.72,clear sky,-35.9333,173.8833,Parkview Motel
415,Verkhnyaya Inta,RU,0.9,overcast clouds,65.9811,60.3094,
416,Erzin,TR,48.99,light rain,36.9559,36.2,Artemis Otel
417,Omidiyeh,IR,55.4,clear sky,30.7597,49.705,Royal Complex
419,Bilma,NE,68.74,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
421,Garmsar,IR,50.81,broken clouds,35.2182,52.3409,Peyvand Hotel
422,Kamyaran,IR,35.6,few clouds,34.7956,46.9355,Mobile Adab موبایل ادب
